#####################################################################
# Alchemist log file - simulation started at: 2025-04-20T06:28+0000 #
#####################################################################
#
# seed = 1.0, areas = 3, sparsity = 0.9, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.65 2.65 2.65 0.00 4.063190937042236 4.063190937042236 4.063190937042236 0.0 0.11382113821138211 0.11382113821138211 0.11382113821138211 0.0
1.1 56.0 0.3712836421198315 0.0 2.596774618624261 5.091682395173444 0.41776213175800825 2.27 2.67 2.60 0.00391 3.977731704711914 5.93391478061676 4.942599439195225 0.6451980673309836 0.11382113821138211 0.6115107913669064 0.4017810142130198 0.01303254687290841
2.1 56.0 0.4631535170806779 0.0 2.3301531340306005 4.5905140688021975 0.5266457565654793 2.20 2.48 2.35 0.00949 3.610885977745056 5.389240860939026 4.479521598134722 0.3763847417378219 0.23577235772357724 0.6906474820143885 0.5054176171258116 0.015237016708666453
3.1 56.0 0.6277687139809132 0.0 2.0498709737288734 4.079602382249303 0.5909922468529242 1.92 2.26 2.07 0.0157 3.4735430479049683 4.790171265602112 4.00474964933736 0.19741420344153002 0.3170731707317073 0.7410071942446043 0.572282940198364 0.014056734747311905
4.1 56.0 0.8224892670081722 0.0 1.8212567540575508 3.656869254178471 0.6478569177178581 1.64 2.09 1.85 0.0267 3.1205679774284363 4.352835774421692 3.608951979449817 0.11441789928402525 0.4065040650406504 0.7985611510791367 0.633896715380309 0.009648066148939602
5.1 54.0 1.0441829479402966 0.0 1.6097914716228843 3.2939902332921824 0.6696792972126363 1.39 1.94 1.65 0.0381 2.6638669967651367 3.9708774089813232 3.2650717507515634 0.0826582458216272 0.43089430894308944 0.8057553956834532 0.6575861262209745 0.007243431520410072
6.1 45.0 1.285245114730464 0.0 1.4211633157123018 2.9957480443020663 0.6869622188428118 1.16 1.80 1.46 0.0487 2.3111401796340942 3.6498078107833862 2.980171219578811 0.07155470695291066 0.5040650406504065 0.8129496402877698 0.6768522464258558 0.00557345315851386
7.1 38.0 1.4993622245060072 0.0 1.2946303941102493 2.801022538294395 0.6958685084452764 1.02 1.66 1.33 0.0420 2.1236263513565063 3.422276496887207 2.785248934158257 0.07025480460071822 0.5447154471544715 0.8057553956834532 0.6869542693371435 0.004661178829351897
8.1 35.0 1.7247879503087864 0.0 1.1698356588129644 2.6259943137152324 0.7029331819097568 0.900 1.55 1.21 0.0439 1.9379304945468903 3.262049913406372 2.6142511032521725 0.07848387330409354 0.5447154471544715 0.8057553956834532 0.6949454373783204 0.004059924833332682
