#####################################################################
# Alchemist log file - simulation started at: 2025-04-23T12:41+0000 #
#####################################################################
#
# seed = 2.0, areas = 9, sparsity = 0.7, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 1.93 1.93 1.93 0.00 1.4462631344795227 1.4462631344795227 1.4462631344795227 0.0 0.7674418604651163 0.7674418604651163 0.7674418604651163 0.0
1.1 56.0 0.2502958899662818 0.0 1.9349776753473553 1.596566930413246 0.8209736353359173 0.748 2.10 1.94 0.0359 0.600409746170044 1.9143101572990417 1.5925522297620773 0.05168248139341846 0.4883720930232558 0.9296875 0.8198388185215947 0.005692494972150071
2.1 24.0 0.4124228378504882 0.0 0.9631878098438461 0.9496127556503554 0.8768695718489808 0.400 1.20 0.973 0.0228 0.5099353492259979 1.2651764750480652 0.9345055297017097 0.03216396826590792 0.78125 0.9883720930232558 0.8820987333887044 0.0019720484577702584
3.1 11.0 0.5807527734173669 0.0 0.4641737129707886 0.658454251602108 0.8925444794358312 0.302 0.570 0.461 0.00616 0.3771841526031494 0.9684318900108337 0.6357378682919911 0.025820317875333575 0.8046875 0.9651162790697675 0.897272762666113 0.0015483139121789421
4.1 10.0 0.5397017851103971 0.0 0.409036301151148 0.6148230029660979 0.8970513027562448 0.247 0.561 0.405 0.00648 0.34318700432777405 0.9483948051929474 0.5921060099665608 0.022358371572072554 0.8203125 0.9651162790697675 0.9013152772009967 0.0012837216033756548
5.1 9.0 0.6790781033995711 0.0 0.29285591231072666 0.5412591222075769 0.9067356176428366 0.202 0.420 0.284 0.00311 0.25244851410388947 0.8424360454082489 0.5170986669670258 0.020683219782039654 0.84375 0.9883720930232558 0.9113469424833887 0.0011090764227530564
6.1 9.0 0.8201959374142281 0.0 0.2453649168404839 0.508201347870959 0.9096784829888027 0.154 0.350 0.236 0.00268 0.2165091186761856 0.8255196511745453 0.4835014272747295 0.021330822955720696 0.859375 0.9651162790697675 0.9142084977159468 9.487003153516372E-4
7.1 9.0 0.5074073466253869 0.0 0.2753740177085478 0.5163896862003537 0.9101136322853862 0.178 0.394 0.268 0.00273 0.22633743286132812 0.8255196511745453 0.49482437542506624 0.019284804965290257 0.84375 0.9883720930232558 0.914140365448505 9.96215774870412E-4
8.1 9.0 0.6606027529931362 0.0 0.23545386989547298 0.4899907383469888 0.9131748178653459 0.145 0.343 0.228 0.00226 0.20369136333465576 0.7950135469436646 0.46765737947342656 0.020139422154531458 0.8515625 0.9767441860465116 0.9169986762873754 9.155600856326498E-4
9.1 9.0 0.8089667753672894 0.0 0.21000209440229992 0.4740108392304844 0.9150522403459662 0.121 0.307 0.202 0.00215 0.17526992410421371 0.8008402585983276 0.45036869575934746 0.021839284538957986 0.8671875 0.9767441860465116 0.9187376713039868 9.096863955171612E-4
10.1 9.0 0.5046699729598598 0.0 0.2288235395134967 0.47274241591861216 0.915633187087281 0.144 0.331 0.221 0.00199 0.1989816650748253 0.7718570232391357 0.4512978373760624 0.01900057913962839 0.875 0.9767441860465116 0.9192989514119602 8.624350788592066E-4
11.1 9.0 0.6736830423275628 0.0 0.20449760706986037 0.4589845902619907 0.9193913966049383 0.120 0.300 0.198 0.00177 0.1760776787996292 0.7742170989513397 0.43674462019199767 0.020463098508404252 0.8671875 0.9767441860465116 0.9227120535714286 8.152629321806757E-4
12.1 9.0 0.8219621841922219 0.0 0.18550264773413216 0.44907361239102883 0.9208325482701694 0.103 0.274 0.179 0.00167 0.15841617435216904 0.7807973623275757 0.42496735376438927 0.023019312290311268 0.8671875 0.9883720930232558 0.924726822051495 8.690524223336038E-4
13.1 9.0 0.5195648068631136 0.0 0.2068395098195116 0.4465143695979575 0.9228372631352282 0.122 0.306 0.200 0.00177 0.16861896216869354 0.7528393864631653 0.42482665104658474 0.018925668988149836 0.8671875 0.9767441860465116 0.926336041320598 7.453988388548203E-4
14.1 9.0 0.6564288005048846 0.0 0.18536922656126134 0.43697258823171814 0.9225434252081539 0.104 0.278 0.179 0.00155 0.1543501317501068 0.7606109082698822 0.413961403304711 0.02097505702281559 0.875 0.9767441860465116 0.9261900436046512 7.592513560193783E-4
15.1 9.0 0.796839232614011 0.0 0.16820268956618573 0.43274459410688765 0.9237972832328452 0.0894 0.252 0.162 0.00149 0.14380286633968353 0.7740750908851624 0.4089866370361831 0.02248305913111463 0.8671875 0.9767441860465116 0.9271666061046512 7.517645038905013E-4
16.1 9.0 0.47774151445906843 0.0 0.19043277163650654 0.4271512146763228 0.9255333943439565 0.109 0.277 0.184 0.00155 0.15630003809928894 0.7534933686256409 0.40517203306912314 0.019230379538989817 0.875 0.9767441860465116 0.9289802221760798 7.05568301099379E-4
17.1 9.0 0.6412362592455783 0.0 0.16994167716671624 0.42309976917588044 0.9260834993181165 0.0932 0.250 0.164 0.00138 0.14201825112104416 0.764838695526123 0.400088072870858 0.021206702545145232 0.8671875 0.9767441860465116 0.9296712780315615 7.842176149252041E-4
18.1 9.0 0.7940745736345832 0.0 0.15434942728913592 0.42242043782715444 0.9239419591587712 0.0800 0.227 0.149 0.00132 0.13088353723287582 0.7762826085090637 0.3987855468211429 0.022939132877242654 0.8671875 0.9767441860465116 0.927445623961794 7.819705464852611E-4
19.1 9.0 0.46236798811106034 0.0 0.17747598573749446 0.41235930350735606 0.9269537979112835 0.101 0.257 0.172 0.00138 0.13977832347154617 0.7438823580741882 0.39031085292143486 0.01953695761285234 0.8671875 0.9883720930232558 0.9300930492109635 7.445946853559561E-4
20.1 9.0 0.6428789684066066 0.0 0.15747506851991522 0.41176298757394153 0.9282547597258112 0.0851 0.231 0.152 0.00138 0.12911098077893257 0.750144749879837 0.3893780479806342 0.020867288491075425 0.8828125 0.9883720930232558 0.9314167618355482 6.901836996112046E-4
21.1 9.0 0.7874528819028241 0.0 0.1427816249544679 0.4140126605253713 0.9266173422695952 0.0717 0.214 0.138 0.00129 0.12169595435261726 0.7647313475608826 0.39094456064049155 0.02304123277998558 0.8515625 0.9883720930232558 0.9298854080149501 7.805505240683529E-4
22.1 9.0 0.4593523952328129 0.0 0.1671207031319416 0.3998182173473415 0.9282996204780363 0.0949 0.241 0.162 0.00134 0.12879044190049171 0.7343882322311401 0.37783049464425333 0.019787441509473962 0.875 0.9883720930232558 0.9321791943521595 7.753667070279296E-4
23.1 9.0 0.6303765948539898 0.0 0.1478704952037464 0.40292525348931924 0.9277736281581971 0.0786 0.219 0.143 0.00130 0.11848515272140503 0.7459284067153931 0.3810499520706279 0.020833096234333624 0.875 0.9883720930232558 0.9312091206395349 6.899239080447742E-4
24.1 9.0 0.7842953002747195 0.0 0.13381266368240685 0.40556054072523556 0.9278448446023544 0.0652 0.212 0.129 0.00131 0.11280888691544533 0.766204833984375 0.3830098231722202 0.023060251292760677 0.875 0.9883720930232558 0.9312772529069767 7.526457910487546E-4
25.1 9.0 0.45711429398736836 0.0 0.15881083548067088 0.3907303478177867 0.929843951873385 0.0883 0.228 0.154 0.00128 0.1118533881381154 0.7272663712501526 0.3690849928950358 0.019941353348873536 0.875 0.9883720930232558 0.933227133513289 6.9363232548084E-4
26.1 9.0 0.6332216708012569 0.0 0.13960513812101757 0.39554676696382185 0.9288082292563882 0.0708 0.211 0.135 0.00122 0.10526905208826065 0.7400706112384796 0.37416754503335276 0.020944821553133024 0.875 0.9883720930232558 0.9321824387458472 7.04329307533485E-4
27.1 9.0 0.7859932565026813 0.0 0.1263690233587981 0.39845845735643376 0.9283248546511628 0.0587 0.197 0.122 0.00121 0.10212846845388412 0.7573756277561188 0.3764509361436857 0.02293376871964231 0.8671875 0.9883720930232558 0.9318320442275747 7.969739810155096E-4
28.1 9.0 0.45098594916455537 0.0 0.1509831292928894 0.3827964593943807 0.9315996895635946 0.0816 0.219 0.147 0.00123 0.10179397463798523 0.7232145071029663 0.36143069193764993 0.020013931567939982 0.8828125 0.9883720930232558 0.9351737697259136 7.045920999925976E-4
29.1 9.0 0.6255240179138418 0.0 0.13241713432381463 0.3886011096441911 0.9306626606014929 0.0645 0.202 0.128 0.00121 0.09460194408893585 0.7346118092536926 0.36773816284091615 0.020844751102744093 0.875 0.9883720930232558 0.9338533014950167 7.226351923073544E-4
30.1 9.0 0.7822388789536041 0.0 0.11912426183722652 0.3912346306440915 0.9296521721576227 0.0531 0.189 0.115 0.00119 0.09344620257616043 0.7537858188152313 0.3697399971258294 0.022885852736332236 0.859375 0.9883720930232558 0.9327404744601329 8.099306352573589E-4
31.1 9.0 0.45187794665495556 0.0 0.14379942355320097 0.3753893564708163 0.9340569372667241 0.0779 0.206 0.140 0.00119 0.08988122083246708 0.7140441834926605 0.3548343393569147 0.019719641148904066 0.8828125 0.9883720930232558 0.9375421771179402 7.342404052475438E-4
32.1 9.0 0.6279864519098658 0.0 0.12512827036677623 0.38205293585534816 0.9336997335271318 0.0604 0.189 0.122 0.00115 0.08882183954119682 0.7295270562171936 0.361829624128794 0.02067188678188057 0.875 0.9883720930232558 0.936711612333887 6.72628820383315E-4
33.1 9.0 0.7817116902198321 0.0 0.1123644945834746 0.3864856194877238 0.9320623160709158 0.0492 0.177 0.109 0.00113 0.08326599188148975 0.7537619769573212 0.36554309172788635 0.022640061552273025 0.8671875 1.0 0.9350407495847176 7.68054431830803E-4
34.1 9.0 0.44191074067795716 0.0 0.1372081771034962 0.36903608311542574 0.936801293784094 0.0790 0.196 0.134 0.00111 0.0757015198469162 0.7112690806388855 0.3490026633371599 0.019650646012273926 0.8828125 1.0 0.940186357973422 7.174842886291643E-4
35.1 9.0 0.6194057690876502 0.0 0.11847715940072064 0.3752335660205579 0.9362281976744187 0.0595 0.179 0.116 0.00108 0.08150399290025234 0.7330350875854492 0.3555977037342798 0.020419316547975793 0.8671875 0.9883720930232558 0.939287660921927 6.665916244865762E-4
36.1 9.0 0.7704957797203535 0.0 0.10618271415170719 0.3800588365339525 0.9344208701191502 0.0476 0.177 0.103 0.00108 0.07961290702223778 0.7618251144886017 0.3599006482358423 0.022463880245143092 0.8671875 1.0 0.9375454215116279 7.760515536077552E-4
37.1 9.0 0.44576687476149307 0.0 0.13103824439616643 0.36191051940284213 0.9387303061297732 0.0715 0.192 0.129 0.00101 0.07154831476509571 0.7041468024253845 0.3427234199147538 0.019157196150867934 0.875 1.0 0.9419999740448505 7.226017430714294E-4
